"Cobitis taenia","['freshwater']","native","['Dorngrundel', 'Steinbeißer', 'Sandputttler', 'Steinbeiß', 'Steinpeitzger', 'Steinpietzger', 'Steinschmerl']","common","13.50 cm TL male/unsexed ;9.50 cm SL female"
"Misgurnus anguillicaudatus","['freshwater']","introduced","['Ostasiatischer Schlammpeitzger']","","28.00 cm SL male/unsexed"
"Misgurnus fossilis","['freshwater']","native","['Europäischer schlammpeitzger', 'Schlammbeißer', 'Schlammpeitzger', 'Beitzger', 'Bisgurr', 'Kurrpietsche', 'Mauergrundel', 'Meerpute', 'Mißgurre', 'Moorgrundel', 'Muhrgrundel', 'Peisker', 'Pfuhlfisch', 'Piepaal', 'Pietzker', 'Pisger', 'Pißguru', 'Pute', 'Quirre', 'Schlammpitscher', 'Wetterfisch', 'Wettergrundel']","","30.00 cm TL male/unsexed ;30.70 cm TL female"
"Conger conger","['brakish', 'marine']","native","['Meeraal', 'Conger', 'Congeraal', 'Gemeiner Meeraal']","scarce","300 cm TL male/unsexed"
"Cottus gobio","['freshwater', 'brakish']","native","['Mühlkoppe', 'Bullen', 'Groppe', 'Gruppe', 'Kaulkopf', 'Koppe', 'Dickkopf', 'Dickkopp', 'Dolbn', 'Greppe', 'Kappen', 'Kaulquappe', 'Kautzenkopf', 'Kuleken', 'Müllerkopf', 'Müllerkoppe', 'Rotzkober', 'Rotzkolbe', 'Tolben', 'Turzbull']","occasional","18.00 cm TL male/unsexed"
"Cottus microstomus","['freshwater']","native","['Baltische Groppe']","","10.06 cm SL male/unsexed"
"Cottus perifretum","['freshwater']","native","['Scheldegroppe']","","13.40 cm TL male/unsexed"
"Cottus rhenanus","['freshwater']","native","['Rheingroppe']","","10.00 cm SL male/unsexed"
"Micrenophrys lilljeborgii","['brakish', 'marine']","native","['Zwergseeskorpion']","","7.40 cm SL male/unsexed"
"Myoxocephalus quadricornis","['marine']","native","['Vierhörniger Seeskorpion']","","60.00 cm TL male/unsexed"
"Myoxocephalus scorpius","['brakish', 'marine']","native","['Gemeiner Seeskorpion', 'Seeskorpion']","common","60.00 cm TL male/unsexed"
"Taurulus bubalis","['brakish', 'marine']","native","['Seebull', 'Langstacheliger seeskorpion', 'Blauer knurrhahn']","common","17.50 cm SL male/unsexed ;25.00 cm SL female"
"Cyclopterus lumpus","['brakish', 'marine']","native","['Seehase', 'Lump', 'Deutscher Kaviar']","common","61.00 cm TL male/unsexed ;42.90 cm SL female"
"Barbus barbus","['freshwater']","native","['Barbe', 'Barbern', 'Lotusbarbe', 'Bambet', 'Barbel', 'Barben', 'Barbine', 'Barm', 'Berbe', 'Berger', 'Bigge', 'Borbine', 'Flußbarbe', 'Parme', 'Pigge', 'Sauchen', 'Sömer', 'Weißfisch']","scarce","120 cm TL male/unsexed"
"Carassius auratus","['freshwater']","introduced","['Goldfisch']","","48.00 cm TL male/unsexed"
"Carassius carassius","['freshwater', 'brakish']","native","['Karausche', 'Bauernkarpfen', 'Moorkarpfen', 'Schneiderkarpfen , Boretsch', 'Breitling', 'Burretschel', 'Gareisel', 'Garrausche', 'Garusse', 'Geibel', 'Giebel', 'Goldkarausche', 'Goldkarpfen', 'Guratsch', 'Gurretfisch', 'Halbgareis', 'Hungerkarausche', 'Kanas', 'Karatsche', 'Karausse', 'Karras', 'Karusche', 'Karuske', 'Karutze', 'Kotbuckel', 'Kotkarpfe', 'Kotplette', 'Kotscheberl', 'Krus', 'Krutsch', 'Kuretschel', 'Mölenke', 'Schlammkarausche', 'Seekarausche', 'Steinkarpel', 'Strummer', 'Sumpfkarausche', 'Weißfisch']","common","64.00 cm TL male/unsexed"
"Carassius gibelio","['freshwater', 'brakish']","introduced","['Giebel', 'Silberkarausche', 'Weißfisch']","occasional","46.60 cm TL male/unsexed"
"Cyprinus carpio","['freshwater']","introduced","['Karpfen', 'Karpen', 'Weißfische', 'Wildkarpfen', 'Donaukarpfe', 'Flußgründling', 'Karpe', 'Karpf', 'Lederkarpfen', 'Mooskarpfen', 'Schuppenkarpfen', 'Seebinkel', 'Spiegelkarpfen']","common","120 cm TL male/unsexed"
"Dalatias licha","['marine']","native","['Schokoladenhai', 'Darkie Charlie', 'Dunkler Hai', 'Schokoladenhai']","","182 cm TL male/unsexed"
"Dasyatis pastinaca","['marine']","native","['Peitschenrochen', 'Gemeiner Stechrochen', 'Gewöhnlicher Stechrochen', 'Pfeilschwanz', 'Stechroche', 'Stechrochen']","","69.50 cm WD male/unsexed"
"Remora remora","['marine']","native","['Ansauger', 'Gemeiner Schiffshalter', 'Kleiner Schiffshalter']","scarce","86.40 cm TL male/unsexed"
"Echinorhinus brucus","['marine']","native","['Alligatorhai', 'Brombeerhai', 'Nagelhai', 'Stachelhai']","","310 cm TL male/unsexed"
"Engraulis encrasicolus","['brakish', 'marine']","native","['Sardelle', 'Anchovis', 'Europäische Sardelle', 'Sardellenpaste']","common","20.00 cm SL male/unsexed"
"Esox lucius","['freshwater', 'brakish']","native","['Hecht', 'Europäischer hecht', 'Flußhecht', 'Hechten', 'Heichit', 'Bunthecht', 'Grashecht', 'Heekt', 'Hengste', 'Höcht', 'Scheckhecht', 'Schnock', 'Schnöck', 'Schnuck', 'Snook']","common","137 cm FL male/unsexed ;150 cm TL female"
"Etmopterus spinax","['marine']","native","['Samtbauchhai', 'Kleiner schwarzer Dornhai', 'Schwarzer Dornhai', 'Schwarzer Laternenhai']","","60.00 cm TL male/unsexed"
"Gadiculus thori","['marine']","native","['Silberdorsch']","","15.00 cm TL male/unsexed"
"Gadus morhua","['brakish', 'marine']","native","['Dorsch', 'Cod', 'Kabeljau', 'Ostseedorsch', 'Brisoletten', 'Fischfrikadellen', 'Fischklops', 'Fischkloss', 'Hartsalzung', 'Klippfisch', 'Laberdan', 'Salzfisch', 'Stockfisch', 'Stückenfisch']","common","200 cm TL male/unsexed"
"Melanogrammus aeglefinus","['marine']","native","['Schellfisch', 'Fischflocken', 'Fischkuchen', 'Kaltgeräucherter Schellfisch', 'Schellfisch Suppe']","scarce","112 cm TL male/unsexed"
"Merlangius merlangus","['brakish', 'marine']","native","['Wittling', 'Merlan', 'Witting']","common","91.50 cm TL male/unsexed"
"Micromesistius poutassou","['marine']","native","['Blauer Wittling', 'Stockfisch']","scarce","55.50 cm TL male/unsexed"
"Pollachius pollachius","['marine']","native","['Steinköhler', 'Heller Seelachs', 'Pollack', 'Köhler', 'Seelachs']","occasional","130 cm TL male/unsexed"
"Pollachius virens","['marine']","native","['Köhler', 'Blaufisch', 'Seelachs']","occasional","130 cm TL male/unsexed"
"Trisopterus esmarkii","['marine']","native","['Stintdorsch', 'Sparling']","scarce","35.00 cm TL male/unsexed"
"Trisopterus luscus","['brakish', 'marine']","native","['Franzosendorsch', 'Bartdorsch', 'Franz']","scarce","46.00 cm TL male/unsexed"
"Trisopterus minutus","['brakish', 'marine']","native","['Zwergdorsch']","scarce","40.00 cm TL male/unsexed"
"Ciliata mustela","['brakish', 'marine']","native","['Fünfbärtelige Seequappe']","","25.00 cm TL male/unsexed"
"Ciliata septentrionalis","['marine']","native","['Nördliche Fünfbartelige Seequappe']","scarce","20.00 cm TL male/unsexed"
"Enchelyopus cimbrius","['brakish', 'marine']","native","['Vierbärtelige Seequappe']","","41.00 cm TL male/unsexed"
"Gaidropsarus mediterraneus","['brakish']","native","['Seequappe', 'Mittelmeer-Quappe']","","50.00 cm TL male/unsexed"
"Gaidropsarus vulgaris","['marine']","native","['Dreibärtelige Seequappe', 'Dreibartelige Seequappe', 'Dreibärtige Seequappe', 'Gemeine Meerquappe', 'Gewöhnliche Seequappe', 'Meertrüsche']","","60.00 cm TL male/unsexed"
"Gasterosteus aculeatus","['freshwater', 'brakish', 'marine']","native","['Großer Stichling', 'Dreistacheliger Stichling', 'Dreistachliger Stichling', 'Rotzbarsch', 'Stachelfisch', 'Steckker , Stichling', 'Seestichling', 'Stachel de butz', 'Stachelbauch', 'Stachele', 'Stechbüttel', 'Stecherling', 'Stechert', 'Steckbedel', 'Steckbüdel', 'Steckelbars', 'Steckelstange', 'Steckling']","common","11.00 cm TL male/unsexed"
"Pungitius laevis","['freshwater']","native","[]","","8.00 cm SL male/unsexed"
"Pungitius pungitius","['freshwater', 'brakish']","native","['Kleiner Stichling', 'Kleiner (Neunstacheliger) Stichling', 'Neunstacheliger Stichling', 'Steckelbars', 'Steigbügel', 'Zwergstichling', 'Seestichling', 'Stachel de butz', 'Stachelbauch', 'Stachele', 'Stachelfisch', 'Stechbüttel', 'Stecherling', 'Stechert , Steckbedel', 'Steckbüdel', 'Steckelstange', 'Steckling', 'Steekerling', 'Steekling', 'Stichbeutel', 'Stichlinsky', 'Stickelbars']","common","9.00 cm TL male/unsexed"
"Spinachia spinachia","['brakish', 'marine']","native","['Seestichling', 'Fünfzehnstachliger Stichling']","common","22.00 cm SL male/unsexed"
"Aphia minuta","['brakish', 'marine']","native","['Glasgrundel', 'Weissgrundel']","common","7.90 cm TL male/unsexed"
"Babka gymnotrachelus","['freshwater']","introduced","['Nackthals-Grundel']","","16.20 cm TL male/unsexed"
"Crystallogobius linearis","['marine']","native","['Kristallgrundel']","","4.70 cm SL male/unsexed ;3.90 cm SL female"
"Gobius niger","['brakish', 'marine']","native","['Schwartzkühling', 'Schwarzgrundel', 'Schwarzküling']","common","25.30 cm TL male/unsexed"
"Neogobius melanostomus","['marine']","introduced","['Kruglyak - Grundel', 'Schwarzmund-Grundel', 'Schwarzmundgrundel']","scarce","35.00 cm TL male/unsexed"
"Pomatoschistus flavescens","['brakish', 'marine']","native","['Schnappgrundel', 'Fleckgrundel', 'Schnappküling', 'Schwimmgrundel']","common","6.00 cm TL male/unsexed"
"Pomatoschistus lozanoi","['brakish', 'marine']","native","['Lozano-Grundel']","","8.00 cm TL male/unsexed"
"Pomatoschistus microps","['brakish', 'marine']","native","['Strandgrundel', 'Strandküling']","common","9.00 cm TL male/unsexed"
"Pomatoschistus minutus","['brakish', 'marine']","native","['Sandkühling', 'Kleine Meergrundel', 'Sandgrundel', 'Sandküling']","common","11.00 cm TL male/unsexed"
"Pomatoschistus pictus","['marine']","native","['Fleckengrundel', 'Bändergrundel', 'Bunte grundel']","occasional","6.00 cm TL male/unsexed"
"Ponticola kessleri","['freshwater']","introduced","['Kessler-Grundel']","","22.00 cm TL male/unsexed"
"Proterorhinus marmoratus","['freshwater']","introduced","['Marmorierte Grundel']","","11.50 cm TL male/unsexed"
"Proterorhinus semilunaris","['freshwater']","introduced","[]","","9.00 cm SL male/unsexed"
"Thorogobius ephippiatus","['marine']","native","['Leopardengrundel']","","13.00 cm TL male/unsexed"
"Gobio gobio","['freshwater', 'brakish']","native","['Gründling', 'Grässling', 'Grundel', 'Gründelen', 'Giefen', 'Grimpe', 'Gringel', 'Grüme', 'Gründel', 'Güwchen', 'Krasse', 'Webers']","common","21.00 cm TL male/unsexed"
"Gobio obtusirostris","['freshwater']","native","['Kurzschnäuziger Gründling']","","12.50 cm SL male/unsexed"
"Pseudorasbora parva","['freshwater']","introduced","['Blaubandbärbling', 'Blaubandgründling']","","12.50 cm TL male/unsexed"
"Romanogobio belingi","['freshwater']","native","['Stromgründling']","","11.50 cm SL male/unsexed"
"Hexanchus griseus","['brakish', 'marine']","native","['Grauhai', 'Großer Grauhai', 'Notidan', 'Rotbraunhai', 'Rotgrauhai', 'Sechskiemer', 'Stierhai', 'Stumpfnasen-Sechskiemenhai', 'Speckfisch']","","600 cm TL male/unsexed"
"Ameiurus melas","['freshwater']","introduced","['Schwarzer Zwergwels', 'Schwarzer Katzenwels']","","66.00 cm TL male/unsexed"
"Ameiurus nebulosus","['freshwater']","introduced","['Katzenwels', 'Brauner katzenwels', 'Zwergwels', 'Amerikanischer zwergwels']","","55.00 cm TL male/unsexed"
"Acantholabrus palloni","['marine']","native","['Stachel-Lippfisch', 'Schuppenstrahl-Lippfisch', 'Lippfisch']","","25.00 cm TL male/unsexed"
"Centrolabrus exoletus","['marine']","native","['Kleinmäuliger Lippfisch']","","18.00 cm TL male/unsexed"
"Ctenolabrus rupestris","['marine']","native","['Klippenbarsch', 'Klippbarsch']","common","18.00 cm TL male/unsexed"
"Labrus bergylta","['marine']","native","['Gefleckter Lippfisch', 'Lippfisch']","occasional","65.90 cm TL male/unsexed"
"Labrus mixtus","['marine']","native","['Kuckuckslippfisch']","","40.00 cm SL male/unsexed ;30.00 cm TL female"
"Symphodus melops","['marine']","native","['Schwarzäugiger Lippfisch', 'Goldmaid']","common","28.00 cm SL male/unsexed"
"Lamna nasus","['marine']","native","['Heringshai', 'Heringshai', 'Kalbfisch']","scarce","350 cm TL male/unsexed"
"Abramis brama","['freshwater', 'brakish']","native","['Brassen', 'Blei', 'Brachse', 'Brachsen', 'Brasse', 'Braßmens', 'Plietfische', 'Blacke', 'Bläuer', 'Bleg', 'Bleibräsem', 'Bleier', 'Bleiert', 'Blutige', 'Brachs', 'Brachsle', 'Brächsle', 'Brachsmann', 'Brachsmen', 'Brachsner', 'Bräse', 'Bräsem', 'Brasen', 'Brassenplieten', 'Breisen', 'Breissen', 'Breitelen', 'Breitling', 'Breom', 'Bressen', 'Bretling', 'Bretzing', 'Brisem', 'Dombrachsen', 'Güster', 'Halbfisch', 'Klesch', 'Mackel', 'Perlbrachsen', 'Reissfisch', 'Rheinbraxen', 'Scheitele', 'Schlaffke', 'Schniebpleinzen', 'Schrickel', 'Steinbrachsen', 'Sunnfisch', 'Weißfisch']","common","82.00 cm TL male/unsexed"
"Alburnoides bipunctatus","['freshwater']","native","['Schneider', 'Alandblecke', 'Breit-Bleck', 'Krim-Schneider', 'Alandblicke', 'Alantbleck', 'Auklege', 'Bambeli', 'Bammeli', 'Blatteln', 'Breitbleck', 'Breitblecke', 'Breitinher', 'Gestreifte laube', 'Kleinweißerl', 'Platzer', 'Reißlaube', 'Riemling', 'Schnieder', 'Schußlaube', 'Schußlaugel , Silberlauing', 'Steinankerlaube', 'Steinlaube', 'Stocklaugle', 'Strauß', 'Streifling', 'Stronze', 'Trätschlaube', 'Weißerl']","scarce","18.50 cm TL male/unsexed"
"Alburnus alburnus","['freshwater', 'brakish']","native","['Ukelei', 'Lang-Bleck', 'Laube', 'Meefischli', 'Agoher', 'Agon', 'Agöne', 'Agune', 'Albala', 'Alve', 'Bestaller', 'Blacke', 'Bläke', 'Bläullg', 'Blieke', 'Blieken', 'Blinke', 'Butzli', 'Donaulauben', 'Gase', 'Grasle', 'Gris', 'Günger', 'Ikelei', 'Läge', 'Langbleck', 'Lauben', 'Laubener', 'Lauber', 'Lauel', 'Lauge', 'Laugel', 'Laugele', 'Lauing', 'Laukel', 'Leiken', 'Maiblecken', 'Nestling', 'Ockelei', 'Okel', 'Pliete', 'Schaulaugeln', 'Schneider', 'Schneiderlein', 'Seelauben', 'Seeschiedl', 'Silberfisch , Silberling', 'Sonnenfisch', 'Sostknecht', 'Spitzlaube', 'Uekelei', 'Uklei', 'Weißfisch', 'Wiek', 'Wietling', 'Windlauben', 'Winger', 'Zumpel']","common","25.00 cm TL male/unsexed"
"Alburnus chalcoides","['freshwater']","native","['Mairenke', 'Kislarischer Hering', 'Schemaja', 'Schiedling', 'Seelaube', 'Weißfisch']","occasional","40.00 cm TL male/unsexed"
"Alburnus mento","['freshwater']","native","['Alpen-Ukelei', 'Mairenke', 'Marenke', 'Schiedling', 'Silberfisch']","","40.00 cm SL male/unsexed"
"Ballerus ballerus","['freshwater', 'brakish']","native","['Schwuppe', 'Blainvilles dornhai', 'Zope', 'Ballen', 'Flixe', 'Meernase', 'Näsling', 'Pleinzen', 'Schuppe', 'Schwope', 'Spitzer', 'Spitzpleinzen', 'Sporn', 'Weißfisch', 'Zoppe', 'Zuppe']","common","49.00 cm TL male/unsexed"
"Ballerus sapa","['freshwater']","native","['Zobel', 'Berg brassen', 'Dornbrachsen', 'Kanov', 'Pleinzen', 'Sape', 'Scheibpleinzen', 'Steinbrachsen', 'Weißfisch']","occasional","35.00 cm TL male/unsexed"
"Blicca bjoerkna","['freshwater', 'brakish']","native","['Güster', 'Blicke', 'Halbbrachsen', 'Hebber', 'Pliete', 'Blätte', 'Bleiche', 'Bleinse', 'Blenke', 'Bleyzer', 'Bliengge', 'Breitfisch', 'Bresen', 'Bunke', 'Fliengge , Geiserze', 'Gieben', 'Giester', 'Grasblecke', 'Grastaschel', 'Halbbressen', 'Hörsel', 'Jüster', 'Kleinbreiser', 'Kulbauge', 'Mackel', 'Meckel', 'Plattfisch', 'Pleinzen', 'Pletten', 'Plieten', 'Prünke', 'Rotflosser', 'Rotplieten', 'Sandblecke', 'Scheiber', 'Schniber', 'Steinmappen', 'Weißfisch', 'Zobelpleinzen']","common","45.50 cm TL male/unsexed"
"Chondrostoma nasus","['freshwater']","native","['Nase', 'Blaunase', 'Eltze', 'Elze', 'Erdfisch', 'Kräuterling', 'Kummel', 'Mundfisch', 'Naas', 'Nässling', 'Nösling', 'Oehrling', 'Oesling', 'Quermaul', 'Reckenzahn', 'Redfisch', 'Schnabel', 'Schnappel', 'Schwabe', 'Schwallfisch', 'Schwarzbauch', 'Schweinchen', 'Schweinsfisch', 'Spehlung', 'Speier', 'Speuzer', 'Sunnta', 'Swina', 'Untermaul', 'Weißfisch', 'Zuppe']","","50.00 cm TL male/unsexed"
"Leucaspius delineatus","['freshwater']","native","['Mutlose', 'Malinchen', 'Moderlieschen', 'Moderliesken', 'Moderrapfen', 'Modtke', 'Mudchen', 'Mutterloseken', 'Rapfenlaube', 'Schneiderkarpfen', 'Sonnenfischchen', 'Weißpiepe', 'Moderlisken', 'Modke', 'Mudehen', 'Mutlosen']","common","9.00 cm SL male/unsexed"
"Leuciscus aspius","['freshwater', 'brakish']","native","['Rapfen', 'Kaspischer Rapfen', 'Rapen', 'Schied', 'Dickkopf', 'Diebel', 'Hartkopf', 'Lachsfisch', 'Mulbe', 'Mülbe', 'Mülpe', 'Raape', 'Raapf', 'Rappe', 'Ritter', 'Rombalet', 'Rotschiedel', 'Salat', 'Schiegg', 'Schiek', 'Schier', 'Schirm', 'Schütt', 'Weißfisch', 'Zalat']","common","120 cm TL male/unsexed"
"Leuciscus idus","['freshwater', 'brakish']","native","['Orfe', 'Aland', 'Gäse', 'Goldorfe', 'Jesen', 'Nerfling', 'Alander', 'Alant', 'Alat', 'Elize', 'Elsrode', 'Elte', 'Ertel', 'Gängling', 'Gänzling', 'Gendling', 'Genge', 'Gesenitz', 'Gisitzer', 'Göhe', 'Goldfisch unechter', 'Goldnerfling', 'Göse', 'Häwt', 'Helm', 'Jase', 'Jesenitz', 'Juntling', 'Kilps', 'Kühling', 'Lachsapparre', 'Mähne', 'Münne', 'Nennen', 'Rohrkarpfen', 'Rotorfe', 'Schwarznerfling', 'Seekarpen', 'Seekarpfen', 'Stromkarpfen', 'Tabarre', 'Tabelle', 'Tapar', 'Topar', 'Urf', 'Urs', 'Weißfisch']","common","85.00 cm SL male/unsexed"
"Leuciscus leuciscus","['freshwater', 'brakish']","native","['Hasel', 'Hasila', 'Hasile', 'Heseln', 'Angelfisch', 'Dase', 'Döbel', 'Fase', 'Hasele', 'Häseli', 'Haserle', 'Häsling', 'Laschen', 'Luke', 'Merzling', 'Nefel', 'Nestling', 'Nösling', 'Rießling', 'Rüßling', 'Schnädel', 'Schnörgel', 'Schnottfisch', 'Spitzhassel', 'Springer', 'Stämm', 'Stichhassel', 'Urban , Weißbleier', 'Weißfisch', 'Zinnfisch']","occasional","40.00 cm TL male/unsexed"
"Pelecus cultratus","['freshwater', 'brakish']","native","['Sichling', 'Ziege', 'Dünnbauch', 'Messerfisch', 'Messerkarpf', 'Säbel', 'Sichel', 'Sichelfisch']","scarce","60.00 cm TL male/unsexed"
"Phoxinus phoxinus","['freshwater', 'brakish']","native","['Elritze', 'Blutelritze', 'Pfelle', 'Pfrille', 'Balte , Bambel', 'Bambeli', 'Bammeli', 'Bampel', 'Bitterziimpelchen', 'Blitterfischl', 'Brunnenpfrill', 'Budd', 'Burli', 'Buthe', 'Butt', 'Ellering', 'Ellritzeritze', 'Eltrschl', 'Erleress', 'Erling', 'Gefrille', 'Gievchen', 'Grimpel', 'Grümperl', 'Haberfischl', 'Hunderttausendfischl', 'Maipiere', 'Mallfot', 'Mazelung', 'Miling', 'Mollinger', 'Moosbutzli', 'Mudd , Mutterlose', 'Pfrull', 'Piek', 'Piere', 'Riedlingehen', 'Rümpchen', 'Spierling', 'Sunnfischl', 'Weiling', 'Zaukerl', 'Zorscheli']","occasional","14.00 cm TL male/unsexed"
"Rutilus meidingeri","['freshwater']","native","['Frauenfisch', 'Perlfisch', 'Frauennerfling']","occasional","70.00 cm TL male/unsexed"
"Rutilus rutilus","['freshwater', 'brakish']","native","['Plötze', 'Meefischli', 'Roddogen', 'Rotauge', 'Rothauge', 'Brunhövd', 'Furn', 'Plätze', 'Plotz', 'Ridde', 'Rotaltel', 'Rotaschel', 'Rotoog', 'Rotte', 'Rottel', 'Schmahl', 'Schwal', 'Weißfisch', 'Zicke']","common","50.20 cm TL male/unsexed"
"Scardinius erythrophthalmus","['freshwater', 'brakish']","native","['Rotfeder', 'Meefischli', 'Förm', 'Förn', 'Furn', 'Fürn', 'Gelbauge', 'Kotaschel', 'Kümmerer', 'Nersling', 'Rodde', 'Roddow', 'Rohrkarpfen', 'Rötel', 'Rotengele', 'Rotflosse', 'Rotflosser', 'Rotie;em', 'Rotkarpfen', 'Rotschweif', 'Rouflößchen', 'Ruden', 'Scharl', 'Schaul', 'Unecht rotauge', 'Weißfisch']","common","61.70 cm TL female"
